country,name,description
kenya,"eResearchTechnology, Inc (ERT)","We’re a global data and technology company that minimizes risk and uncertainty in clinical trials, so that you can move ahead quickly – and with confidence.We’re a global data and technology company that minimizes risk and uncertainty in clinical trials, so that you can move ahead quickly – and with confidence. As well as technology and process‑related insights. "
latvia,Accell Clinical Research,"We are a full-service clinical CRO with a relentless mission to complete your clinical trial on time. Backed by our strong operational strategy and leadership, a devoted team of medical professionals in each country and connections to prominent medical institutions, your clinical study will be in good, caring hands. "
latvia,Mediolanum Cardio Resesarch (MCR),"MCR staff includes full time employees and external collaborators/consultants working on a part-time basis. MCR staff and collaborators are qualfied by titles, professional training and experience in the field of clinical research. Other external monitors working with a not continuative collaboration. "
lebanon,ClinSmart,"Trial sponsors work with ClinSmart because we have a track record of success, and a team of individuals that value trust. We leverage our local presence to build strong trust and communication with biopharma teams in the region. Learn more about how this aligns with our company philosophy.Our work breeds excellence when it plays to our strengths. While we do many things well, we'd like to be known for the services that make us great.""Personal. Focused. Results."" isn't just a tagline, but our 3-key philosophy that guides our identity, and how we approach our work. "
lithuania,Biometrix,"Thank you for visiting our website, and for your interest in learning more about our company.Biometrix was founded in 1994, with the goal of providing high quality instrumentation services at a reasonable price to the biotechnology, pharmaceutical and medical devices industries of New England.Over the years we have expanded the depth and range of our expertise so that we can provide our customers with a more comprehensive service offering. Our capabilities include:On-site calibrationCalibration master plan consultingCalibration turnkey program creation and implementationCalibration staffingCommissioningValidationAutoclave cycle development consultingUser requirements specifications consultingValidation staffingWe've also expanded our geographic reach, as we now service small and large calibration and validation projects throughout North America. And for the launching of major biopharmaceutical manufacturing facilities, our commissioning team is able to travel throughout the United States and internationally. We take great pride in providing high quality equipment and systems services for the FDA-regulated environment. We understand how to provide calibration, validation and commissioning in a manner compliant with GMP and your internal quality guidelines "
lithuania,Commonwealth Biotechnologies,"Commonwealth Biotechnologies, Inc., was founded in 1992 to provide sophisticated research and development support services on a fee-for-service basis to the global biotechnology and pharmaceutical industry. Since 2004, CBI has pursued a strategy of acquiring or merging with complementary companies that extend its drug discovery capabilities and earnings potential. "
lithuania,Mediolanum Cardio Resesarch (MCR),"MCR staff includes full time employees and external collaborators/consultants working on a part-time basis. MCR staff and collaborators are qualfied by titles, professional training and experience in the field of clinical research. Other external monitors working with a not continuative collaboration. "
luxembourg,Promedica International,"With a track record of more than three decades working with industry leaders, mid-size and start–up companies, Promedica International (PMI) can support your clinical research projects with a wide range of specialized clinical study services, including:Clinical study design, management and monitoring for pre- and post-market studiesClinical data management and analysis services for pre- and post-market studiesMedical writingAuditing and training for GCPProduct development and Product commercializationWhether you contract Promedica for all or part of your project, you will work with a senior level team of research specialists who are experienced in project management, data management, and clinical services. Our project teams are carefully assembled to match your project requirements and organizational structure, and we form a partnership with you to conduct research that meets your specific goals and objectives.Our focus is to deliver professional quality work in an efficient manner so you can achieve your goals faster. From strategic planning through the market introduction process, Promedica International provides the people, processes and performance to facilitate the successful completion of your research project. "
macedonia,Commonwealth Biotechnologies,"Commonwealth Biotechnologies, Inc., was founded in 1992 to provide sophisticated research and development support services on a fee-for-service basis to the global biotechnology and pharmaceutical industry. Since 2004, CBI has pursued a strategy of acquiring or merging with complementary companies that extend its drug discovery capabilities and earnings potential. "
malaysia,Insearch,"Insearch was incorporated in 2008 as a clinical business development company. Owned and operated by long-term industry experts, it is our mission to bring clinical expertise to our client sites while nurturing relationships with our Pharma and CRO partners. "
mexico,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
mexico,Althian,"Althian Clinical Research Management Center, located in Monterrey, was founded in 2008 by a group of visionaries with more than ten years of experience working in the medical field. Owing to their profound understanding of the medical marketplace and their fortunate past liaisons with some of the true leaders of medical research, they identified the need and the value for developing a high-level research management center in Monterrey City. Created as a brand of the former company Winsett Rethman S.A. de C.V., Althian was envisioned as an organization that would truly facilitate the efforts of CROs and sponsors to run clinical trials in Mexico on an unparalleled level of efficiency and competence. In 2015, a new healthcare company, Axis Heilsa S. de R.L. de C.V., was created and Althian, keeping the same brand and experienced personnel, came to be part of this new healthcare group. This new strategy has let us reach out to even more patients so that we can offer them new opportunities of treatment that the clinical trials have to offer.It is with this kind of inspired leadership that we at Althian have come to know and understand how to successfully run clinical research trials in northern Mexico. This in-depth grasp of the economic, medical and logistical value of the area makes it possible for us to individualize each trial and adapt our resources according to the needs and requirements of our sponsors. In most cases, we build a team with some of the best diagnostic and clinical talent in Monterrey in order to achieve the objective of a specific clinical trial. As such, we are a dedicated research center, specializing in conducting phase I, II, III and IV trials in multiple medical areas and subspecialties. We have the finest experience working with oncology, neurology, cardiology, pneumology, gastroenterology, endocrinology and metabolic disorders clinical trials.At this point, we have accumulated valuable experience in working directly with several pharmaceutical companies, as well as with CROs. With all these years in conducting clinical trials, our research physicians are knowledgeable of good clinical practices and are well versed in conducting high quality clinical research while adhering to sponsor goals and deadlines. Our company is knowledgeable about the medical and health services area in Monterrey, as well as having a deep knowledge of Mexico’s northern population. This makes it possible for us to tailor each project according to the needs of our sponsors. "
mexico,AXIS Clinicals,"AXIS is an efficient, metric based clinical research provider with a global footprint of operations. Our mandate recognizes the need within the medical research community for quality clinical services backed by experience, ICH/GCP training, protocol adherence, and leadership at significant cost advantages. Representing a vertically integrated CRO, we provide a collaborative and personalized approach to meet sponsor study requirements.Offering trial management and monitoring, quality assurance, regulatory submissions, data management and biostatistics, makes us the assembly of a functional team ideally suited for clinical study. Our clients have ranged from big pharma majors to the emerging biotechnology sector. Our customized billing models help us add new clients along with the retention of our recurring clientele.With over 2,500 studies for various regulated markets, a huge data bank of validated bio-analytical methods for over 350 molecules and the facilities being inspected and approved by various global regulatory authorities, AXIS Clinicals ranks among the Top Clinical Research Organizations in India. As a Clinical Research Organization, our core competencies are in the realm of planning, designing and managing Clinical Trials - with clients that include national and international Pharmaceutical majors (innovators as well as generic pharmaceutical enterprises), Biotechnology and Medical Device organizations. Our clinical research programs employ the latest study designs in clinical pharmacology, Bio-Analytical method development and Pharmacokinetic analysis, conducted by a team of experienced and well-trained clinical coordinators and research associates. "
mexico,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
mexico,Frontage (ABR),"We are a CRO providing integrated, scientifically-driven research, analytical and development services throughout the drug discovery and development process to enable biopharmaceutical companies to achieve their drug development goals. We have enabled many innovator, generic and consumer health companies of all sizes to file IND, NDA, ANDA, BLA and 505(b)(2) submissions in global markets allowing for successful development of important therapies and products for patients. We are committed to providing rigorous scientific expertise to ensure the highest quality and compliance.  We have successfully assisted clients to advance hundreds of molecules through development to commercial launch in global markets. "
mexico,Quorom Review Inc.,"Quorum Review IRB, the first name in streamlined, service-centered independent ethics and regulatory review, assures the ethical integrity of clinical research. With our partners, we advance the frontiers of medical innovation while sustaining the rights, dignity, and safety of participants.The Quorum difference is One-Touch Collaboration™. Your research benefits from an outstanding service experience, a single point of contact, one study startup timeline, and a true single board review—which is why Quorum is the preferred central IRB. "
netherlands,Advanced Clinical Services LLC,"Advanced Clinical was founded in 1994 with a very simple goal: to provide staffing and consultation support for Chicagoland pharmaceutical companies. Our senior-level consultants successfully enhanced our clients’ resources for clinical research projects, and before long, a national, 120-year-old, $30B pharmaceutical company requested our services for innovative outsourcing solutions in data management. This event was the genesis of our first CRO service offering.Our evolution continued, and today we have global representation in over 50 countries. Advanced Clinical provides full-service CRO, FSP, Strategic Resourcing and Quality and Validation services. Our employees average 10 years of experience in the life sciences industry and are efficient at utilizing state-of-the-art tools and intelligence. "
netherlands,Axon Medchem,"Axon Medchem is a leading European service platform for medicinal chemistry, spinned-off from Axon Biochemicals BV.Together with Axon Biochemicals BV, it conducts business operations as a contract research organization (CRO) in medicinal chemistry.Subsequent to the spin-off in 2006, Axon Medchem has developed as a prime source of high-value life science products, providing Axon Ligands™ for pharmaceutical research as world-wide recognized drug standards. Therefore, we aim to keep up with relevant scientific publications in order to serve potential customers with the latest advances in the field of the development of novel therapeutics for known diseases and pathologies like psychiatric disorders, oncology, Alzheimer's and Parkinson's disease, diabetes, inflammatory diseases, and many others.While the majority of the products we offer are synthesized in-house by well educated and skilled medicinal chemists, some are being supplied by research partners. Nevertheless, all Axon Ligands™ meet the high standards of quality control that are determined to guarantee the best quality of products among our competitors world wide, which is obviously well appreciated by our international clients.Besides the retail of Axon Ligands™, Axon Medchem is also specialized in contract research and high-quality synthesis of bio-active and/or drug-like molecules on the basis of contract research. The company aims to provide dedicated chemistry services on demand for pharmaceutical, (bio-)chemical, agricultural, and/or biotechnology companies as well as research institutes around the world. Drug design and synthesis, hit to lead development, and structure activity relationship (SAR) elucidation; we have accumulate the essential knowledge in front-line medicinal chemistry research to serve all of our customer requests. "
netherlands,AXON Medica,"axon MEDICA – The Healers; connecting needy patients to the compassionate professionals.Every visitor, guest and patient to axon MEDICA is an opportunity to the team to exhibit it’s core strength; the genuine patient-centric service. We are committed in delivering the best-in-class of healthcare services.axon MEDICA is the healthcare vertical of Health World Investments LLC. Health World is a new and growing organization that sets to make a mark in the field of healthcare. Health World has signed an MOU with a leading healthcare provider to start medical centres, clinics, pharmacies, diagnostic centres and labs in Dubai. Based in Dubai, United Arab Emirates, Health World is a part of Study World Group. "
netherlands,BioFortis,"Based in the Washington D.C. Metro area, BioFortis is a leading provider of precision medicine technology solutions. Its flagship product, Labmatrix®, is a web-based database application that addresses the needs in clinical trial sample & consent tracking, study subject & biospecimen management, and collaborative clinical & translational research programs. In May 2018, BioFortis was acquired by Q2 Solutions.With enterprise-grade capabilities for importing, integrating, and access controlling multiple eClinical and bioresearch data collections in a tightly-linked and regulatory-compliant manner, Labmatrix further empowers its users to easily ask sophisticated questions and generate scientific insights/reports, thus breaking down the technical barriers to big & complex data access and exploration. "
netherlands,Cliniminds,"Cliniminds was established in year 2004, by a group of professionals from Clinical Research, Pharmaceutical industry and Healthcare industry with rich and varied experience at senior management levels.Cliniminds offers Educational & Training Programs to develop the skill capacity in the health sciences domain. Cliniminds is an innovative health sciences educational and training institute providing a wide range of clinical trials, pharmacovigilance, healthcare, hospital management, health insurance, pharma regulatory, pharmacovigilance, data management and other job oriented post graduate diploma and certification programs. Cliniminds also provides training and continuing medical education solutions to the, pharmaceutical companies, CROs, KPOs, hospitals, and healthcare companies globally.Cliniminds programs enjoy very high level of acceptance from leading global pharmaceutical and clinical research companies. Cliniminds Online Programs are popular amongst the students from India, United States of America, Mexico, U.K., Canada, Europe, Africa, Asia, Middle East. Cliniminds today is the global leader in the clinical research and pharmacovigilance education and training domain. Cliniminds is rated amongst the best quality clinical research institutes globally. Cliniminds has been awarded as the Best Clinical Research & Health Sciences Business Management Institute in consecutively for five years - 2011, 2012, 2013, 2014, 2015 and 2016 by leading agencies including ASSOCHAM. "
netherlands,EAG Laboratories,"Leveraging Science and Engineering to Accelerate InnovationWhen it comes to understanding the physical structure, chemical properties and performance of advanced materials and integrated circuitry, no other scientific services company offers the breadth of experience, diversity of analytical techniques or technical ingenuity of EAG Laboratories. We deliver multi-disciplinary, problem-solving expertise to help our customers accelerate innovation, ensure quality and safety, and protect intellectual property.The world is experiencing a powerful and rapid convergence of science, technology and commerce. Great scientific minds are driving awe-inspiring commercial initiatives, and companies around the globe are seeking the insight and competitive advantage that advanced science can provide. EAG is at the forefront of this revolution–one that is changing the way products are developed, designed, manufactured and used by millions of people around the planet.Whether you are seeking to speed time-to-market, solve manufacturing problems or ensure regulatory compliance, turn to EAG. We know how to bring the power of science to every phase of your product lifecycle. "
netherlands,Factum,We ensure that contracts from the pharmaceutical industry are performed competently and are client-focused. Data from more than 1.5 million patients has been processed in the meantime. 
new_zealand,Omnicare,"Count on us to handle the details, so you can focus on quality care.For post-acute or senior living residents who rely on your experienced staff to help manage their medications or do it themselves we offer cost-effective, best-in-class pharmacy services that are designed to support each unique member of your community. "
new_zealand,Pacific Bridge Medical,"Pacific Bridge Medical has 30 years of experience with business development and regulatory affairs in the Asia markets. We focus only on Asia, and we know it well.Our consulting services can help at any stage of your business, with everything from distributor search, sourcing, and market research to regulatory strategy, product registration, and quality compliance in Asia. Pacific Bridge Medical specializes in projects that require developing unique and complex strategies. Read more about our company and how we can help you succeed in Asia. "
norway,Jai Research Foundation (JRF Global),"JRF Global offers comprehensive non clinical GLP research services for regulatory submissions, worldwide.We offer fast, transparent, cost-effective, and hassle-free services in Toxicology, Eco-toxicology, Chemistry, Environmental Fate and Metabolism, and other regulatory testing requirements. Our experienced and knowledgeable scientists have worked with pharmaceutical and biopharmaceutical, agrochemical, specialty chemical, industrial biotech, biocidal, cosmetic, and veterinary products. With locations in India, USA, UK, and Japan, we are the obvious partner-of-choice of over 600 companies for non clinical safety data generation.JRF Global offers integrated services for evaluating products for their chemical properties, eco-toxicological and environmental fate, and mammalian safety. In addition, we also provide regulatory guidance to minimise the testing time and efforts. "
